n_HD	HD	DM	GC	HR	HIP	RAJ2000	DEJ2000	Vmag	Fl	Bayer	Cst	Simbad
 	118716	CP-52  6655 	18458	5132	 66657	13 39 53.27	-53 27 58.9	 2.29	   	eps  	Cen	Simbad
 	118991	CP-53  5725 	18495	5141	 66821	13 41 44.81	-54 33 33.7	 4.99	   	Q    	Cen	Simbad
 	119024	BD+53  1640 	18473	5142	 66634	13 39 30.58	+52 55 15.9	 5.46	 82	     	UMa	Simbad
 	119055	BD+20  2858 	18485	5144	 66727	13 40 40.50	+19 57 20.4	 5.73	  1	     	Boo	Simbad
 	119090	CD-32  9549 	18505	5147	 66825	13 41 45.58	-33 35 50.6	 6.58	   	T    	Cen	Simbad
 	119126	BD+23  2600 	18499	5149	 66763	13 41 02.36	+22 29 45.0	 5.63	  2	     	Boo	Simbad
 	119149	BD-07  3674 	18509	5150	 66803	13 41 36.83	-08 42 11.1	 5.03	 82	m    	Vir	Simbad
 	119228	BD+55  1625 	18504	5154	 66738	13 40 44.29	+54 40 54.0	 4.63	 83	     	UMa	Simbad
 	119425	BD+04  2775 	18540	5159	 66936	13 43 03.88	+03 32 17.1	 5.35	 84	     	Vir	Simbad
 	119605	BD-15  3731 	18568	5165	 67057	13 44 29.82	-16 10 44.6	 5.55	 83	     	Vir	Simbad
M	119756	CD-32  9603 	18593	5168	 67153	13 45 41.57	-33 02 36.1	 4.23	  1	i    	Cen	Simbad
 	119786	BD-15  3735 	18595	5170	 67139	13 45 35.09	-15 46 02.7	 6.18	 85	     	Vir	Simbad
 	119834	CD-50  8017 	18607	5172	 67234	13 46 39.37	-51 25 57.7	 4.64	   	M    	Cen	Simbad
 	119853	BD-11  3591 	18604	5173	 67172	13 45 56.33	-12 25 35.6	 5.50	 86	     	Vir	Simbad
 	119921	CD-35  8995 	18618	5174	 67244	13 46 56.36	-36 15 06.9	 5.15	   	z    	Cen	Simbad
 	120052	BD-17  3932 	18632	5181	 67288	13 47 25.35	-17 51 35.1	 5.41	 87	     	Vir	Simbad
 	120064	BD+26  2494 	18623	5182	 67239	13 46 43.33	+25 42 08.6	 5.97	  3	     	Boo	Simbad
 	120136	BD+18  2782 	18637	5185	 67275	13 47 16.04	+17 27 24.4	 4.50	  4	tau  	Boo	Simbad
 	120198	BD+55  1634 	18633	5187	 67231	13 46 35.68	+54 25 57.7	 5.68	 84	     	UMa	Simbad
 	120307	CD-41  8171 	18665	5190	 67464	13 49 30.30	-41 41 15.6	 3.41	   	nu.  	Cen	Simbad
M	120315	BD+50  2027 	18643	5191	 67301	13 47 32.55	+49 18 47.9	 1.85	 85	eta  	UMa	Simbad
M	120323	CD-33  9358 	18666	5192	 67457	13 49 26.75	-34 27 02.3	 4.19	  2	g    	Cen	Simbad
 	120324	CD-41  8172 	18667	5193	 67472	13 49 37.01	-42 28 25.3	 3.47	   	mu.  	Cen	Simbad
 	120452	BD-17  3937 	18676	5196	 67494	13 49 52.34	-18 08 02.7	 4.96	 89	     	Vir	Simbad
 	120477	BD+16  2564 	18674	5200	 67459	13 49 28.70	+15 47 52.1	 4.05	  5	ups  	Boo	Simbad
 	120499	BD+40  2694 	18671	5199	      	13 48 57.20	+39 32 34.0	 7.40	   	R    	CVn	Simbad
 	120539	BD+21  2578 	18683	5201	 67480	13 49 42.82	+21 15 50.6	 4.92	  6	e    	Boo	Simbad
 	120642	CP-52  6787A	18720	5207	 67703	13 52 04.90	-52 48 41.3	 5.26	   	N    	Cen	Simbad
M	120709	CD-32  9676A	18724	5210	 67669	13 51 49.63	-32 59 38.5	 4.32	  3	k    	Cen	Simbad
 	120710	CD-32  9676B	18725	5211	      	13 51 50.10	-32 59 41.0	 6.06	  3	k    	Cen	Simbad
 	120955	CD-31 10729 	18755	5221	 67786	13 53 12.55	-31 55 39.3	 4.75	  4	h    	Cen	Simbad
X	120987	CD-35  9090 	18761	5222	 67819	13 53 32.82	-35 39 51.1	 5.53	   	y    	Cen	Simbad
X	120987	CD-35  9090 	18761	5222	 67819	13 53 32.82	-35 39 51.1	 5.53	286	G    	Cen	Simbad
 	121107	BD+18  2795 	18764	5225	 67787	13 53 12.95	+17 55 58.3	 5.71	  7	     	Boo	Simbad
 	121130	BD+65   963 	18750	5226	 67627	13 51 25.94	+64 43 23.8	 4.58	 10	i    	Dra	Simbad
 	121263	CD-46  8949 	18809	5231	 68002	13 55 32.43	-47 17 17.8	 2.55	   	zet  	Cen	Simbad
 	121299	BD-00  2758 	18800	5232	 67929	13 54 42.20	-01 30 11.1	 5.16	 90	p    	Vir	Simbad
M	121370	BD+19  2725 	18805	5235	 67927	13 54 41.12	+18 23 54.9	 2.68	  8	eta  	Boo	Simbad
 	121409	BD+54  1630 	18796	5238	 67848	13 53 51.04	+53 43 43.3	 5.70	 86	     	UMa	Simbad
 	121607	BD+01  2865 	18841	5244	 68092	13 56 27.89	+01 03 02.0	 5.90	 92	     	Vir	Simbad
 	121710	BD+28  2278 	18850	5247	 68103	13 56 34.16	+27 29 31.9	 5.02	  9	     	Boo	Simbad
 	121743	CD-41  8329 	18874	5248	 68245	13 58 16.28	-42 06 02.5	 3.83	   	phi  	Cen	Simbad
 	121790	CD-44  9010 	18883	5249	 68282	13 58 40.77	-44 48 12.7	 3.87	   	ups01	Cen	Simbad
 	121847	CD-24 11202 	18887	5250	 68269	13 58 31.18	-24 58 19.8	 5.20	 47	     	Hya	Simbad
 	121996	BD+22  2650 	18900	5255	 68276	13 58 38.93	+21 41 46.8	 5.76	 10	     	Boo	Simbad
 	122066	CD-24 11215 	18918	5257	 68390	14 00 00.25	-25 00 36.6	 5.77	 48	     	Hya	Simbad
 	122223	CD-44  9040 	18939	5260	 68523	14 01 43.49	-45 36 12.1	 4.34	   	ups02	Cen	Simbad
 	122250	CP-76   799 	18975	5261	 68815	14 05 20.10	-76 47 48.0	 5.69	   	the  	Aps	Simbad
 	122405	BD+28  2287 	18943	5263	 68478	14 01 10.53	+27 23 11.6	 6.23	 11	     	Boo	Simbad
 	122408	BD+02  2761 	18945	5264	 68520	14 01 38.78	+01 32 40.5	 4.23	 93	tau  	Vir	Simbad
M	122451	CP-59  5365 	18971	5267	 68702	14 03 49.44	-60 22 22.7	 0.61	   	bet  	Cen	Simbad
 	122980	CD-40  8405 	19017	5285	 68862	14 06 02.79	-41 10 46.5	 4.36	   	chi  	Cen	Simbad
M	123123	CD-26 10095 	19029	5287	 68895	14 06 22.27	-26 40 55.3	 3.25	 49	pi.  	Hya	Simbad
M	123139	CD-35  9260 	19033	5288	 68933	14 06 41.32	-36 22 07.3	 2.06	  5	the  	Cen	Simbad
 	123177	BD-08  3696 	19032	    	 68888	14 06 17.77	-08 53 30.0	 6.54	 94	     	Vir	Simbad
 	123255	BD-08  3697 	19041	5290	 68940	14 06 42.91	-09 18 48.7	 5.46	 95	     	Vir	Simbad
M	123299	BD+65   978 	19019	5291	 68756	14 04 23.43	+64 22 32.9	 3.67	 11	alf  	Dra	Simbad
 	123630	BD-09  3865 	19092	5298	 69127	14 09 00.60	-10 20 04.6	 6.45	 96	     	Vir	Simbad
 	123782	BD+50  2047 	19095	5300	 69068	14 08 17.36	+49 27 28.9	 5.26	 13	     	Boo	Simbad
 	123998	CP-80   706 	19211	5303	 69896	14 18 13.97	-81 00 27.4	 4.89	   	eta  	Aps	Simbad
 	123999	BD+25  2737 	19127	5304	 69226	14 10 23.95	+25 05 30.6	 4.82	 12	d    	Boo	Simbad
 	124063	BD+75   529 	19097	5305	 68956	14 06 56.48	+74 35 37.5	 6.43	  3	     	UMi	Simbad
 	124206	CD-26 10158 	19163	5312	 69415	14 12 46.03	-27 15 40.0	 5.07	 50	     	Hya	Simbad
 	124294	BD-09  3878 	19168	5315	 69427	14 12 53.74	-10 16 26.6	 4.18	 98	kap  	Vir	Simbad
 	124547	BD+78   478 	19142	5321	 69112	14 08 51.01	+77 32 50.8	 4.80	  4	     	UMi	Simbad
 	124570	BD+13  2764 	19205	5323	 69536	14 14 05.33	+12 57 34.5	 5.53	 14	     	Boo	Simbad
 	124601	CP-59  5476 	19234	5326	      	14 16 34.20	-59 54 50.0	 6.39	   	R    	Cen	Simbad
X	124674	BD+52  1782B	19204	5328	 69481	14 13 27.75	+51 47 16.4	 6.62	 17	kap01	Boo	Simbad
X	124674	BD+52  1782B	19204	5328	 69481	14 13 27.75	+51 47 16.4	 6.62	 17	kap  	Boo	Simbad
X	124675	BD+52  1782A	19207	5329	 69483	14 13 28.95	+51 47 24.0	 4.53	 17	kap02	Boo	Simbad
X	124675	BD+52  1782A	19207	5329	 69483	14 13 28.95	+51 47 24.0	 4.53	 17	kap  	Boo	Simbad
 	124679	BD+10  2654 	19226	5330	 69612	14 14 50.86	+10 06 03.6	 5.29	 15	     	Boo	Simbad
 	124771	CP-79   755 	19305	5336	 70248	14 22 23.20	-80 06 32.1	 5.06	   	eps  	Aps	Simbad
M	124850	BD-05  3843 	19244	5338	 69701	14 16 00.88	-05 59 58.3	 4.07	 99	iot  	Vir	Simbad
 	124882	CP-83   557 	19349	5339	 70638	14 26 55.74	-83 40 04.3	 4.31	   	del  	Oct	Simbad
M	124897	BD+19  2777 	19242	5340	 69673	14 15 40.35	+19 11 14.2	-0.05	 16	alf  	Boo	Simbad
M	125161	BD+52  1784 	19269	5350	 69713	14 16 10.07	+51 22 01.3	 4.75	 21	iot  	Boo	Simbad
 	125162	BD+46  1949 	19273	5351	 69732	14 16 23.18	+46 05 16.5	 4.18	 19	lam  	Boo	Simbad
 	125180	BD+15  2690 	19284	5352	 69829	14 17 28.44	+15 15 48.1	 5.84	101	     	Vir	Simbad
 	125238	CD-45  9084 	19304	5354	 69996	14 19 24.23	-46 03 29.1	 3.55	   	iot  	Lup	Simbad
X	125248	BD-18  3789 	19295	5355	 69929	14 18 38.30	-18 42 57.2	 5.86	   	CS   	Vir	Simbad
X	125248	BD-18  3789 	19295	5355	 69929	14 18 38.30	-18 42 57.2	 5.86	236	G.   	Vir	Simbad
 	125288	CP-55  5984 	19318	5358	 70069	14 20 19.55	-56 23 11.3	 4.30	   	v    	Cen	Simbad
M	125337	BD-12  4018 	19311	5359	 69974	14 19 06.60	-13 22 16.2	 4.52	100	lam  	Vir	Simbad
 	125351	BD+36  2468 	19296	5361	 69879	14 17 59.82	+35 30 34.1	 4.80	   	A    	Boo	Simbad
 	125451	BD+13  2782 	19319	5365	 69989	14 19 16.22	+13 00 15.8	 5.41	 18	     	Boo	Simbad
 	125454	BD-01  2938 	19323	5366	 70012	14 19 32.55	-02 15 55.2	 5.14	102	ups  	Vir	Simbad
 	125473	CD-37  9336 	19337	5367	 70090	14 20 33.48	-37 53 07.0	 4.05	   	psi  	Cen	Simbad
 	125560	BD+16  2637 	19334	5370	 70027	14 19 45.32	+16 18 24.5	 4.84	 20	     	Boo	Simbad
 	125823	CD-38  9329 	19377	5378	 70300	14 23 02.26	-39 30 42.4	 4.41	   	a    	Cen	Simbad
 	125932	CD-27  9803 	19389	5381	 70306	14 23 05.91	-27 45 13.4	 4.78	 51	k    	Hya	Simbad
 	126035	BD-11  3729 	19399	5383	 70336	14 23 25.63	-11 42 50.0	 6.22	  2	     	Lib	Simbad
 	126341	CD-44  9322 	19453	5395	 70574	14 26 08.24	-45 13 17.0	 4.56	   	tau01	Lup	Simbad
 	126354	CD-44  9323 	19454	5396	 70576	14 26 10.80	-45 22 45.3	 4.33	   	tau02	Lup	Simbad
M	126660	BD+52  1804 	19467	5404	 70497	14 25 12.02	+51 51 06.2	 4.04	 23	the  	Boo	Simbad
 	126661	BD+19  2810 	19480	5405	 70602	14 26 27.41	+19 13 36.6	 5.40	 22	f    	Boo	Simbad
 	126722	BD-05  3880 	19491	5406	 70680	14 27 24.42	-06 07 12.7	 6.18	104	     	Vir	Simbad
 	126769	CD-28 10712 	19499	5407	 70753	14 28 10.44	-29 29 29.7	 4.97	 52	l    	Hya	Simbad
 	126868	BD-01  2957 	19504	5409	 70755	14 28 12.22	-02 13 40.6	 4.81	105	phi  	Vir	Simbad
 	126927	BD-06  4009 	19516	5410	 70794	14 28 41.73	-06 54 01.5	 5.42	106	     	Vir	Simbad
 	127243	BD+50  2084 	19532	5420	 70791	14 28 38.09	+49 50 41.9	 5.58	 24	g    	Boo	Simbad
 	127381	CD-49  8831 	19590	5425	 71121	14 32 37.08	-50 27 25.6	 4.44	   	sig  	Lup	Simbad
 	127665	BD+31  2628 	19597	5429	 71053	14 31 49.86	+30 22 16.1	 3.57	 25	rho  	Boo	Simbad
 	127700	BD+76   527 	19548	5430	 70692	14 27 31.52	+75 41 45.4	 4.25	  5	     	UMi	Simbad
 	127739	BD+22  2715 	19611	5434	 71115	14 32 32.62	+22 15 35.9	 5.91	 26	     	Boo	Simbad
M	127762	BD+38  2565 	19607	5435	 71075	14 32 04.76	+38 18 28.4	 3.04	 27	gam  	Boo	Simbad
 	127972	CD-41  8917A	19656	5440	 71352	14 35 30.45	-42 09 27.9	 2.33	   	eta  	Cen	Simbad
 	128167	BD+30  2536 	19659	5447	 71284	14 34 40.69	+29 44 41.3	 4.47	 28	sig  	Boo	Simbad
 	128266	CD-45  9302 	19689	5450	 71500	14 37 20.17	-46 08 00.3	 5.39	   	a    	Lup	Simbad
 	128345	CD-48  9198 	19698	5453	 71536	14 37 53.25	-49 25 32.7	 4.05	   	rho  	Lup	Simbad
 	128609	BD+27  2400 	19706	    	      	14 37 11.70	+26 44 10.0	11.70	   	R    	Boo	Simbad
X	128620	CP-60  5483A	19728	5459	 71683	14 39 40.90	-60 50 06.5	-0.01	   	alf  	Cen	Simbad
X	128620	CP-60  5483A	19728	5459	 71683	14 39 40.90	-60 50 06.5	-0.01	   	alf01	Cen	Simbad
X	128621	CP-60  5483B	     	5460	 71681	14 39 39.39	-60 50 22.1	 1.35	   	alf  	Cen	Simbad
X	128621	CP-60  5483B	     	5460	 71681	14 39 39.39	-60 50 22.1	 1.35	   	alf02	Cen	Simbad
 	128898	CP-64  2977 	19772	5463	 71908	14 42 30.69	-64 58 28.5	 3.18	   	alf  	Cir	Simbad
 	129002	BD+45  2204 	19747	5468	 71618	14 38 50.28	+44 24 16.4	 5.39	 33	     	Boo	Simbad
M	129056	CD-46  9501 	19774	5469	 71860	14 41 55.77	-47 23 17.3	 2.30	   	alf  	Lup	Simbad
 	129078	CP-78   893 	19834	5470	 72370	14 47 51.73	-79 02 41.0	 3.83	   	alf  	Aps	Simbad
 	129116	CD-37  9618 	19779	5471	 71865	14 41 57.61	-37 47 36.3	 4.01	   	b    	Cen	Simbad
X	129174	BD+17  2768A	19769	5475	 71762	14 40 43.56	+16 25 05.9	 4.49	 29	pi.01	Boo	Simbad
X	129174	BD+17  2768A	19769	5475	 71762	14 40 43.56	+16 25 05.9	 4.49	 29	pi.02	Boo	Simbad
 	129175	BD+17  2768B	19770	5476	      	14 40 43.90	+16 25 04.0	 5.88	 29	pi.02	Boo	Simbad
 	129246	BD+14  2770B	19777	5477	 71795	14 41 08.92	+13 43 42.0	 3.78	 30	zet  	Boo	Simbad
 	129247	BD+14  2770A	     	5478	      	14 41 08.90	+13 43 42.0	 4.43	 30	zet  	Boo	Simbad
 	129312	BD+08  2903 	19789	5480	 71832	14 41 38.76	+08 09 42.3	 4.86	 31	     	Boo	Simbad
 	129336	BD+12  2729 	19793	5481	 71837	14 41 43.62	+11 39 39.4	 5.55	 32	     	Boo	Simbad
 	129433	CD-24 11637 	19812	5484	 71974	14 43 13.57	-24 59 51.8	 5.70	  4	     	Lib	Simbad
 	129456	CD-34  9868 	19820	5485	 72010	14 43 39.48	-35 10 23.6	 4.06	   	c01  	Cen	Simbad
M	129502	BD-05  3936 	19816	5487	 71957	14 43 03.56	-05 39 26.7	 3.87	107	mu.  	Vir	Simbad
 	129685	CD-34  9888 	19845	5489	 72104	14 44 59.20	-35 11 30.6	 4.92	   	c02  	Cen	Simbad
M	129712	BD+27  2413 	19831	5490	 71995	14 43 25.37	+26 31 40.4	 4.80	 34	W    	Boo	Simbad
 	129893	CD-51  8457 	19876	5495	 72290	14 47 01.31	-52 22 59.9	 5.22	   	b    	Lup	Simbad
 	129926	CD-24 11661 	19864	5497	 72197	14 46 00.18	-25 26 34.5	 5.15	 54	m    	Hya	Simbad
 	129956	BD+01  2972 	19860	5501	 72154	14 45 30.23	+00 43 02.2	 5.68	108	     	Vir	Simbad
 	129972	BD+17  2780 	19858	5502	 72125	14 45 14.50	+16 57 51.9	 4.60	 35	omi  	Boo	Simbad
 	129978	BD-14  4023 	19870	5503	 72194	14 45 57.78	-15 27 34.4	 6.33	  5	     	Lib	Simbad
M	129988	BD+27  2417B	19856	5505	 72105	14 44 59.25	+27 04 27.0	 2.35	 36	eps  	Boo	Simbad
M	129989	BD+27  2417A	     	5506	      	14 44 59.20	+27 04 27.0	 2.70	 36	eps  	Boo	Simbad
 	130109	BD+02  2862 	19884	5511	 72220	14 46 14.99	+01 53 34.6	 3.73	109	     	Vir	Simbad
 	130158	CD-25 10534 	19897	5514	 72323	14 47 22.56	-25 37 27.2	 5.61	 55	     	Hya	Simbad
X	130259	CD-25 10537 	19904	5516	 72357	14 47 44.78	-26 05 14.9	 5.23	 56	     	Hya	Simbad
X	130259	CD-25 10537 	19904	5516	 72357	14 47 44.78	-26 05 14.9	 5.23	 56	     	Vir	Simbad
 	130274	CD-26 10519 	19908	5517	 72378	14 47 57.56	-26 38 46.1	 5.76	 57	     	Hya	Simbad
 	130559	BD-13  3986 	19938	5523	 72489	14 49 19.09	-14 08 56.3	 5.32	  7	mu.  	Lib	Simbad
 	130650	CP-82   629 	20070	5525	 73540	15 01 50.70	-83 13 40.0	 5.65	   	pi.01	Oct	Simbad
 	130694	CD-27 10073 	19954	5526	 72571	14 50 17.47	-27 57 36.8	 4.42	 58	E    	Hya	Simbad
 	130807	CD-43  9391 	19977	5528	 72683	14 51 38.32	-43 34 31.1	 4.32	   	omi  	Lup	Simbad
 	130819	BD-15  3965 	19970	5530	 72603	14 50 41.26	-15 59 49.5	 5.15	  8	alf01	Lib	Simbad
X	130841	BD-15  3966 	19975	5531	 72622	14 50 52.78	-16 02 29.8	 2.75	  9	alf02	Lib	Simbad
X	130841	BD-15  3966 	19975	5531	 72622	14 50 52.78	-16 02 29.8	 2.75	   	alf  	Lib	Simbad
M	130945	BD+46  1993 	19959	5533	 72487	14 49 18.68	+46 06 59.0	 5.76	 38	h    	Boo	Simbad
 	130952	BD-01  2991 	19978	5535	 72631	14 51 01.02	-02 17 55.9	 4.93	 11	     	Lib	Simbad
 	131041	BD+49  2326 	19972	5538	 72524	14 49 41.36	+48 43 14.0	 5.68	 39	     	Boo	Simbad
 	131058	CP-65  2918 	20017	5539	 72965	14 54 42.59	-65 59 27.8	 6.09	   	zet  	Cir	Simbad
 	131109	CP-76   924 	20057	5540	 73223	14 57 53.16	-76 39 45.4	 5.37	   	R    	Aps	Simbad
X	131156	BD+19  2870 	19991	5544	 72659	14 51 23.28	+19 06 02.3	 4.54	 37	ksi  	Boo	Simbad
X	131156	BD+19  2870 	19991	5544	 72659	14 51 23.28	+19 06 02.3	 4.54	   	ksi01	Boo	Simbad
 	131246	CP-82   636 	20145	5545	 73771	15 04 46.96	-83 02 17.8	 5.65	   	pi.02	Oct	Simbad
 	131430	CD-24 11735 	20047	5548	 72929	14 54 20.14	-24 38 31.7	 5.27	 12	     	Lib	Simbad
 	131492	CP-62  4337 	20067	5551	 73129	14 56 44.00	-62 46 51.6	 5.08	   	the  	Cir	Simbad
 	131530	BD-11  3827 	20052	5554	 72934	14 54 22.91	-11 53 54.0	 5.78	 13	ksi01	Lib	Simbad
X	131562	CP-52  7634 	20068	5556	 73095	14 56 17.23	-52 48 34.4	 5.38	   	c    	Lup	Simbad
X	131562	CP-52  7634 	20068	5556	 73095	14 56 17.23	-52 48 34.4	 5.38	 36	G    	Lup	Simbad
 	131596	CP-84   490 	20223	5557	 74296	15 11 08.79	-84 47 16.2	 5.88	   	ome  	Oct	Simbad
M	131873	BD+74   595 	20029	5563	 72607	14 50 42.40	+74 09 19.7	 2.07	  7	bet  	UMi	Simbad
 	131918	BD-10  3989 	20096	5564	 73133	14 56 46.11	-11 24 35.0	 5.48	 15	ksi02	Lib	Simbad
 	132052	BD-03  3696 	20115	5570	 73165	14 57 11.06	-04 20 45.9	 4.47	 16	     	Lib	Simbad
 	132058	CD-42  9853 	20128	5571	 73273	14 58 31.95	-43 08 01.9	 2.68	   	bet  	Lup	Simbad
 	132132	BD+00  3277 	20122	5573	 73193	14 57 33.22	-00 10 03.2	 5.51	  1	M    	Ser	Simbad
 	132200	CD-41  9342 	20146	5576	 73334	14 59 09.70	-42 06 14.9	 3.13	   	kap  	Cen	Simbad
 	132219	CD-27 10148 	20140	5577	 73284	14 58 39.29	-27 39 26.3	 5.65	 59	     	Hya	Simbad
 	132230	BD-10  3994 	20136	5578	 73249	14 58 13.42	-11 09 17.1	 6.61	 17	     	Lib	Simbad
 	132345	BD-10  3999 	20157	5582	 73310	14 58 53.64	-11 08 37.9	 5.88	 18	     	Lib	Simbad
M	132742	BD-07  3938 	20195	5586	 73473	15 00 58.39	-08 31 08.2	 4.91	 19	del  	Lib	Simbad
 	132772	BD+39  2820 	20183	5588	 73369	14 59 36.97	+39 15 54.8	 5.64	 40	     	Boo	Simbad
 	132813	BD+66   878 	20170	5589	 73199	14 57 35.12	+65 55 56.6	 4.63	   	RR   	UMi	Simbad
 	132851	CD-27 10183 	20209	5591	 73566	15 02 06.38	-28 03 37.9	 5.83	 60	     	Hya	Simbad
 	132905	CP-63  3493 	20242	5593	 73776	15 04 48.05	-64 01 52.9	 5.16	   	eta  	Cir	Simbad
 	132933	BD+00  3297 	20212	5594	 73536	15 01 48.92	-00 08 24.9	 5.71	  2	     	Ser	Simbad
 	133086	BD+75   547 	20176	    	 73136	14 56 48.32	+74 54 03.3	 6.83	  8	     	UMi	Simbad
 	133124	BD+25  2861 	20224	5600	 73568	15 02 06.51	+25 00 29.7	 4.80	 41	ome  	Boo	Simbad
 	133165	BD+02  2905 	20237	5601	 73620	15 02 54.07	+02 05 28.6	 4.39	110	     	Vir	Simbad
M	133208	BD+40  2840 	20226	5602	 73555	15 01 56.79	+40 23 26.3	 3.49	 42	bet  	Boo	Simbad
X	133216	CD-24 11834 	20253	5603	 73714	15 04 04.26	-25 16 54.7	 3.25	 20	sig  	Lib	Simbad
X	133216	CD-24 11834 	20253	5603	 73714	15 04 04.26	-25 16 54.7	 3.25	   	gam  	Sco	Simbad
X	133242	CD-46  9773A	20271	5605	 73807	15 05 07.11	-47 03 04.3	 3.91	   	pi.  	Lup	Simbad
X	133242	CD-46  9773A	20271	5605	 73807	15 05 07.11	-47 03 04.3	 3.91	   	pi.01	Lup	Simbad
 	133243	CD-46  9773B	     	5606	      	15 05 07.20	-47 03 04.0	 4.82	   	pi.  	Lup	Simbad
 	133582	BD+27  2447 	20285	5616	 73745	15 04 26.86	+26 56 51.6	 4.52	 43	psi  	Boo	Simbad
 	133621	BD+72   664 	20236	    	 73440	15 00 27.71	+71 45 54.9	 6.64	  9	     	UMi	Simbad
 	133640	BD+48  2259 	20281	5618	 73695	15 03 47.68	+47 39 14.5	 4.83	 44	i    	Boo	Simbad
M	133774	BD-15  4026 	20311	5622	 73945	15 06 37.62	-16 15 24.3	 5.19	 21	nu.  	Lib	Simbad
 	133800	BD-15  4028 	20320	    	 73953	15 06 49.10	-16 29 03.6	 6.41	 22	     	Lib	Simbad
 	133955	CD-44  9889 	20356	5626	 74117	15 08 50.63	-45 16 47.3	 4.07	   	lam  	Lup	Simbad
 	133962	BD+48  2262 	20308	5627	 73841	15 05 25.89	+48 09 03.2	 5.59	 47	k    	Boo	Simbad
 	134083	BD+25  2873 	20342	5634	 73996	15 07 17.95	+24 52 10.5	 4.93	 45	c    	Boo	Simbad
 	134320	BD+26  2656 	20367	5638	 74087	15 08 23.78	+26 18 04.3	 5.67	 46	b    	Boo	Simbad
X	134481	CD-48  9704 	20409	5646	 74376	15 11 56.16	-48 44 15.7	 3.88	   	kap01	Lup	Simbad
X	134481	CD-48  9704 	20409	5646	 74376	15 11 56.16	-48 44 15.7	 3.88	   	kap  	Lup	Simbad
 	134482	CD-48  9705 	20411	5647	 74380	15 11 57.77	-48 44 36.9	 5.70	   	kap02	Lup	Simbad
X	134505	CD-51  8830 	20418	5649	 74395	15 12 17.20	-52 05 56.7	 3.41	   	zet  	Lup	Simbad
X	134505	CD-51  8830 	20418	5649	 74395	15 12 17.20	-52 05 56.7	 3.41	   	ksi  	Lup	Simbad
 	134687	CD-44  9932 	20435	5651	 74449	15 12 49.60	-44 30 01.3	 4.83	   	e    	Lup	Simbad
X	134759	BD-19  4047 	20433	5652	 74392	15 12 13.31	-19 47 29.9	 4.54	 24	iot  	Lib	Simbad
X	134759	BD-19  4047 	20433	5652	 74392	15 12 13.31	-19 47 29.9	 4.54	 24	iot01	Lib	Simbad
X	134967	BD-19  4055 	20456	5656	 74493	15 13 19.22	-19 38 50.8	 6.07	 25	     	Lib	Simbad
X	134967	BD-19  4055 	20456	5656	 74493	15 13 19.22	-19 38 50.8	 6.07	 25	iot02	Lib	Simbad
 	134987	CD-24 11928 	20461	5657	 74500	15 13 28.93	-25 18 33.0	 6.47	 23	     	Lib	Simbad
 	135153	CD-31 11813 	20480	5660	 74604	15 14 37.33	-31 31 08.9	 4.91	  1	i    	Lup	Simbad
 	135230	BD-17  4285 	20484	5662	 74600	15 14 33.77	-17 46 06.7	 6.18	 26	     	Lib	Simbad
 	135240	CP-60  5701 	20507	5664	 74778	15 16 56.90	-60 57 26.1	 5.04	   	del  	Cir	Simbad
 	135291	CP-63  3544 	20519	5666	 74837	15 17 38.89	-63 36 37.8	 4.85	   	eps  	Cir	Simbad
 	135379	CP-58  5875 	20526	5670	 74824	15 17 30.96	-58 48 03.2	 4.07	   	bet  	Cir	Simbad
 	135382	CP-68  2383 	20538	5671	 74946	15 18 54.69	-68 40 46.1	 2.87	   	gam  	TrA	Simbad
 	135482	BD+05  2985 	20501	5675	 74649	15 15 11.37	+04 56 21.7	 5.32	  3	     	Ser	Simbad
X	135502	BD+29  2640 	20495	5676	 74596	15 14 29.21	+29 09 51.2	 5.28	 48	chi  	Boo	Simbad
X	135502	BD+29  2640 	20495	5676	 74596	15 14 29.21	+29 09 51.2	 5.28	 48	nu.  	Boo	Simbad
 	135559	BD+00  3327 	20515	5679	 74689	15 15 49.14	+00 22 19.6	 5.62	  4	     	Ser	Simbad
M	135722	BD+33  2561 	20523	5681	 74666	15 15 30.10	+33 18 54.4	 3.46	 49	del  	Boo	Simbad
 	135734	CD-47  9860 	20556	5683	 74911	15 18 32.05	-47 52 30.7	 4.27	   	mu.  	Lup	Simbad
M	135742	BD-08  3935 	20539	5685	 74785	15 17 00.47	-09 22 58.3	 2.61	 27	bet  	Lib	Simbad
 	135758	CD-29 11630 	20550	5686	 74857	15 17 49.84	-30 08 55.2	 4.35	  2	f    	Lup	Simbad
 	136202	BD+02  2944 	20591	5694	 74975	15 19 18.58	+01 46 00.0	 5.04	  5	     	Ser	Simbad
 	136298	CD-40  9538 	20620	5695	 75141	15 21 22.34	-40 38 50.9	 3.22	   	del  	Lup	Simbad
 	136351	CD-47  9922 	20644	5698	 75206	15 22 08.39	-47 55 38.9	 4.99	   	nu.01	Lup	Simbad
 	136352	CD-47  9919 	20635	5699	 75181	15 21 49.57	-48 19 01.1	 5.65	   	nu.02	Lup	Simbad
 	136366	BD-17  4312 	20618	5701	 75110	15 20 53.68	-18 09 30.6	 6.16	 28	     	Lib	Simbad
 	136407	BD-15  4083 	20628	5703	 75118	15 21 01.36	-15 32 54.2	 6.14	 29	omi  	Lib	Simbad
